age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
43,Private,209117,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,0,40,United-States,>50K
33,Private,185702,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,-21,0,42,United-States,<=50K
20,Private,188980,Some-college,10,Never-married,Priv-house-serv,Not-in-family,Other,Female,-5,0,40,United-States,<=50K
30,Local-gov,258358,Assoc-voc,11,Never-married,Adm-clerical,Unmarried,Black,Female,5,1,40,United-States,<=50K
35,Private,245511,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,-5,1,40,United-States,<=50K
35,Federal-gov,178676,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,-41,0,40,United-States,<=50K
27,Private,265199,Assoc-acdm,11,Divorced,Exec-managerial,Not-in-family,White,Female,-7,0,40,United-States,<=50K
54,State-gov,182619,Some-college,10,Never-married,Other-service,Not-in-family,Black,Female,-6,0,40,United-States,<=50K
38,Private,101668,Assoc-voc,11,Divorced,Handlers-cleaners,Husband,White,Female,-3,0,40,United-States,<=50K
40,Private,268700,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,16,0,36,United-States,<=50K
61,Self-emp-not-inc,218284,HS-grad,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,-16,1,45,Philippines,<=50K
19,State-gov,151853,Some-college,10,Married-spouse-absent,Prof-specialty,Own-child,White,Male,-5,1,40,United-States,<=50K
44,Private,188597,HS-grad,9,Never-married,Other-service,Own-child,White,Male,-29,0,40,United-States,<=50K
43,Without-pay,128581,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Male,-18,0,20,United-States,<=50K
51,Local-gov,111646,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,Black,Female,5,2,36,United-States,>50K
29,Private,129153,11th,7,Divorced,Exec-managerial,Husband,White,Male,-13,-1,40,United-States,<=50K
20,Private,422394,10th,6,Separated,Machine-op-inspct,Other-relative,Black,Male,7,1,30,United-States,<=50K
60,Local-gov,146172,Some-college,10,Married-civ-spouse,Sales,Unmarried,Asian-Pac-Islander,Female,-20,0,40,India,<=50K
49,Private,177517,Bachelors,13,Divorced,Farming-fishing,Husband,White,Male,-30,0,50,United-States,<=50K
40,Private,129661,9th,8,Never-married,Exec-managerial,Not-in-family,Black,Female,-1,0,10,United-States,<=50K
51,Local-gov,107186,Doctorate,15,Married-civ-spouse,Other-service,Husband,White,Male,7416,-1,60,United-States,<=50K
53,Federal-gov,239458,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,-5,1,30,United-States,<=50K
20,Private,195354,Some-college,10,Never-married,Sales,Own-child,White,Female,-21,1,21,United-States,<=50K
31,Private,106581,HS-grad,9,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Male,3,0,40,United-States,<=50K
24,Self-emp-not-inc,209959,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,-37,0,20,United-States,<=50K
34,Self-emp-not-inc,223348,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,-6,1,30,United-States,<=50K
33,Private,115180,Some-college,10,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,3,0,40,Philippines,<=50K
26,Without-pay,118331,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,-3,1,40,United-States,<=50K
33,Local-gov,133862,Bachelors,11,Never-married,Protective-serv,Own-child,White,Male,-14,0,49,United-States,<=50K
45,Local-gov,171602,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,-5,1,27,United-States,>50K
27,Private,345344,Assoc-voc,13,Never-married,Other-service,Own-child,Black,Female,9,0,34,United-States,<=50K
48,Private,193735,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,23,0,39,United-States,>50K
42,Self-emp-inc,42791,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,16,0,38,United-States,<=50K
54,State-gov,202670,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,-10,1,40,United-States,<=50K
31,State-gov,162010,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,14,1,34,United-States,<=50K
67,Private,196009,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,11,1,40,United-States,<=50K
48,Private,174967,Prof-school,4,Married-civ-spouse,Transport-moving,Husband,Black,Male,-14,0,32,United-States,<=50K
49,Local-gov,97364,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Female,3,0,40,India,>50K
26,State-gov,83553,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,15,1,45,United-States,<=50K
53,State-gov,188201,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,-33,0,33,United-States,<=50K
30,Private,185977,HS-grad,14,Divorced,Prof-specialty,Not-in-family,White,Male,3550,1832,45,United-States,<=50K
62,Private,144068,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,25,0,40,United-States,>50K
41,Local-gov,133808,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,-5,0,40,United-States,<=50K
23,Private,178466,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,20,1,26,United-States,<=50K
27,Private,451540,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,-21,-1,40,United-States,<=50K
24,Private,213919,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,-25,0,32,United-States,<=50K
55,Federal-gov,148056,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,-28,1,40,United-States,<=50K
21,Private,65967,10th,4,Never-married,Handlers-cleaners,Other-relative,Other,Male,-23,0,40,Mexico,<=50K
34,Private,195036,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7431,0,60,United-States,>50K
42,Private,107569,10th,4,Divorced,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,29,0,40,United-States,>50K
58,Private,181471,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,-11,0,67,United-States,<=50K
45,Self-emp-not-inc,347442,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,19,1,45,United-States,>50K
21,Private,150344,9th,3,Separated,Farming-fishing,Own-child,Asian-Pac-Islander,Male,-27,1,40,Mexico,<=50K
28,Private,197345,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,30,1,40,South,<=50K
35,State-gov,134644,Assoc-voc,14,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,50,Columbia,>50K
33,Private,268627,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,-11,0,40,Thailand,<=50K
55,Self-emp-inc,189511,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,-2,1,40,United-States,>50K
47,State-gov,123043,HS-grad,9,Married-AF-spouse,Other-service,Wife,White,Female,-5,0,32,South,<=50K
22,Private,304141,Bachelors,13,Never-married,Exec-managerial,Unmarried,White,Male,26,-1,45,Ecuador,<=50K
54,Private,212520,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,-21,0,49,United-States,<=50K
18,Private,205993,10th,6,Never-married,Farming-fishing,Own-child,White,Male,-27,2,40,Mexico,<=50K
21,Private,202048,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-9,0,40,United-States,<=50K
40,Private,62117,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,-21,1,40,United-States,>50K
25,Private,146978,HS-grad,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,-18,1,60,India,<=50K
38,Private,208845,Assoc-acdm,11,Never-married,Exec-managerial,Not-in-family,White,Male,-13,1,40,United-States,<=50K
34,Private,206078,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,9,0,40,Columbia,<=50K
21,Private,190456,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,-4,-1,50,United-States,<=50K
42,Private,110144,Assoc-voc,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,-33,1,34,United-States,>50K
49,Private,263047,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1,45,United-States,<=50K
30,Private,162196,HS-grad,9,Separated,Exec-managerial,Not-in-family,White,Female,-9,0,40,United-States,<=50K
33,Private,161810,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,-15,0,45,United-States,<=50K
53,Private,70563,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,-20,0,40,United-States,<=50K
49,Private,189938,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,-1,0,40,United-States,>50K
50,State-gov,157141,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,-7,0,36,United-States,<=50K
29,Private,217448,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,11,-1,40,United-States,<=50K
30,Private,215676,Assoc-acdm,11,Separated,Machine-op-inspct,Not-in-family,Black,Female,-10,1,40,United-States,<=50K
20,Private,44074,Assoc-voc,15,Widowed,Other-service,Own-child,White,Female,-6,1933,38,United-States,<=50K
29,State-gov,183464,Bachelors,8,Never-married,Prof-specialty,Own-child,White,Female,-5,0,40,United-States,>50K
38,Self-emp-not-inc,192317,Assoc-acdm,11,Divorced,Protective-serv,Not-in-family,White,Female,4,0,35,United-States,<=50K
37,Self-emp-inc,88446,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,2,0,40,United-States,>50K
46,Private,198994,9th,5,Divorced,Other-service,Unmarried,White,Female,-4,-1,36,United-States,<=50K
44,Private,191509,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,-22,0,36,Mexico,<=50K
59,Federal-gov,109385,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Female,-26,0,32,United-States,<=50K
65,Federal-gov,324983,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,-17,0,40,United-States,<=50K
58,Private,187058,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,-17,1,40,United-States,<=50K
47,Private,303153,Bachelors,11,Never-married,Adm-clerical,Not-in-family,White,Female,-2,1,37,United-States,<=50K
60,Private,131780,Some-college,10,Married-spouse-absent,Exec-managerial,Unmarried,Black,Female,-12,1,40,United-States,<=50K
19,Private,94902,Bachelors,13,Never-married,Adm-clerical,Wife,White,Female,3731,0,33,United-States,<=50K
29,Private,163002,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Male,-9,1896,45,England,>50K
34,Private,166957,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,-13,0,12,United-States,<=50K
