age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23,Private,370864,Some-college,10,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,-15,-4,34,India,<=50K
26,Private,45546,HS-grad,13,Never-married,Other-service,Unmarried,Amer-Indian-Eskimo,Female,-9,1,14,United-States,<=50K
54,Private,293758,Masters,15,Separated,Machine-op-inspct,Husband,Black,Male,-33,3,40,Mexico,<=50K
46,Local-gov,291516,HS-grad,10,Widowed,Handlers-cleaners,Husband,White,Female,36,-2,54,United-States,<=50K
23,Private,215345,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Male,-57,-2,40,Mexico,<=50K
31,Private,92000,HS-grad,10,Divorced,Adm-clerical,Husband,White,Male,-25,-2,50,Cuba,<=50K
46,State-gov,164433,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,-5,1,40,United-States,<=50K
43,Local-gov,161453,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,-79,1,50,United-States,>50K
30,Private,256247,Some-college,9,Divorced,Other-service,Not-in-family,White,Male,47,-1,35,Cuba,<=50K
53,Federal-gov,281551,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,-60,3,40,United-States,<=50K
27,Private,160600,HS-grad,10,Never-married,Protective-serv,Not-in-family,White,Female,-14,2,50,United-States,<=50K
49,Self-emp-not-inc,165712,HS-grad,10,Never-married,Sales,Not-in-family,White,Male,-4,-2,32,United-States,<=50K
63,Private,209012,7th-8th,9,Never-married,Sales,Not-in-family,White,Male,-42,-3,50,Mexico,<=50K
49,Private,57395,HS-grad,12,Married-spouse-absent,Sales,Other-relative,Asian-Pac-Islander,Male,-4,-2,38,United-States,<=50K
28,Private,166586,HS-grad,9,Widowed,Adm-clerical,Not-in-family,Black,Male,-65,-2,6,United-States,<=50K
41,Local-gov,201185,Bachelors,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,-144,-1,40,Japan,<=50K
50,Private,375678,Assoc-acdm,5,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,43,1,40,United-States,<=50K
40,Self-emp-not-inc,188712,Some-college,11,Married-civ-spouse,Sales,Husband,White,Male,-40,-1,34,Mexico,<=50K
40,Private,190816,HS-grad,10,Never-married,Adm-clerical,Not-in-family,White,Female,-37,0,28,United-States,<=50K
41,Self-emp-not-inc,57579,Prof-school,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,-79,0,50,United-States,>50K
35,Private,184053,HS-grad,9,Divorced,Other-service,Other-relative,Black,Female,29,7,18,United-States,<=50K
18,Private,258094,HS-grad,14,Never-married,Machine-op-inspct,Unmarried,White,Female,-72,-3,40,United-States,<=50K
58,Private,320000,Some-college,13,Married-civ-spouse,Priv-house-serv,Unmarried,White,Male,-35,2,40,Thailand,<=50K
43,Private,85043,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,31,-5,40,United-States,>50K
34,Private,210683,10th,10,Never-married,Sales,Wife,White,Female,17,5,40,India,<=50K
25,Private,231214,Masters,13,Never-married,Machine-op-inspct,Other-relative,White,Male,7,-1,49,Cuba,<=50K
46,State-gov,167952,HS-grad,9,Never-married,Prof-specialty,Unmarried,White,Male,-14,-5,29,United-States,<=50K
30,Private,15223,Bachelors,9,Married-civ-spouse,Craft-repair,Husband,White,Male,-96,-4,40,United-States,<=50K
25,State-gov,340128,HS-grad,7,Never-married,Machine-op-inspct,Not-in-family,White,Female,-59,-4,40,United-States,<=50K
54,Local-gov,308146,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,-21,-5,40,United-States,<=50K
31,Local-gov,252481,Some-college,4,Divorced,Adm-clerical,Not-in-family,White,Female,20,-5,40,United-States,<=50K
32,Private,176216,Doctorate,15,Married-civ-spouse,Craft-repair,Husband,White,Male,-85,3,49,United-States,<=50K
39,Self-emp-not-inc,600829,Assoc-voc,16,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,-53,-2,50,Dominican-Republic,<=50K
16,Private,262717,HS-grad,9,Never-married,Other-service,Unmarried,Asian-Pac-Islander,Female,72,-4,24,United-States,<=50K
49,Private,220212,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,47,-5,40,United-States,<=50K
20,Federal-gov,236698,HS-grad,14,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,7,-1,40,United-States,>50K
35,Private,432923,Some-college,9,Never-married,Other-service,Not-in-family,White,Male,-79,2,26,United-States,<=50K
44,Private,431855,Bachelors,7,Married-civ-spouse,Sales,Husband,White,Male,-54,2007,52,United-States,>50K
21,Private,83484,Some-college,9,Divorced,Protective-serv,Not-in-family,Black,Male,3,-3,40,United-States,<=50K
24,Local-gov,209405,Bachelors,7,Never-married,Sales,Not-in-family,Black,Female,7377,3,40,United-States,<=50K
27,Private,267530,HS-grad,1,Never-married,Machine-op-inspct,Husband,White,Male,-36,2,12,United-States,<=50K
18,Private,147984,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,Black,Male,48,-1,13,United-States,<=50K
28,Private,258801,Some-college,11,Married-civ-spouse,Craft-repair,Husband,White,Male,-63,0,40,United-States,<=50K
37,Private,363310,HS-grad,10,Never-married,Adm-clerical,Not-in-family,Black,Female,-33,-2,27,United-States,<=50K
23,Private,161112,HS-grad,10,Never-married,Other-service,Not-in-family,White,Female,11,6,9,United-States,<=50K
26,Private,284247,HS-grad,6,Divorced,Adm-clerical,Own-child,White,Female,0,0,35,United-States,<=50K
44,Private,414066,HS-grad,10,Married-civ-spouse,Sales,Husband,White,Female,-44,-1,40,Germany,<=50K
33,Private,243107,Assoc-acdm,4,Never-married,Sales,Not-in-family,Black,Female,-68,3,40,United-States,<=50K
