1,0,-140.7806, 0.0158, -143.3123, 2.5159,-0.0021,
1,1,-133.8381, 0.0385, -136.4181, 2.5416,-0.0468,
1,2,-134.1318, 0.0729, -136.7229, 2.5183,-0.1311,
1,3,-136.7374, 0.1398, -139.3840, 2.5067,-0.2501,
1,4,-146.2654, 0.2135, -148.9550, 2.4761,-0.4080,
1,5,-135.8770, 0.3275, -138.6504, 2.4460,-0.5911,
1,6,-139.1062, 0.4094, -141.9308, 2.4151,-0.7977,
1,7,-135.9594, 0.4568, -138.8085, 2.3923,-0.9553,
1,8,-120.3298, 0.5348, -123.2447, 2.3801,-1.0875,
1,9,-135.1216, 0.5899, -138.0621, 2.3506,-1.2032,
2,0,-129.2051, 0.6243, -132.1594, 2.3300,-1.3546,
2,1,-135.1974, 0.7340, -138.2456, 2.3141,-1.4749,
2,2,-120.4450, 0.8007, -123.5390, 2.2933,-1.6777,
2,3,-134.3438, 0.7609, -137.3944, 2.2896,-1.8798,
2,4,-112.4629, 0.8556, -115.5772, 2.2587,-2.0635,
2,5,-131.0225, 0.8916, -134.1572, 2.2430,-2.1657,
2,6,-129.5590, 0.9356, -132.7233, 2.2288,-2.4050,
2,7,-138.4083, 1.0264, -141.6428, 2.2081,-2.4660,
2,8,-129.8773, 1.0524, -133.1321, 2.2024,-2.5925,
2,9,-118.1789, 1.1330, -121.4995, 2.1876,-2.7142,
3,0,-124.9992, 1.1737, -128.3594, 2.1865,-2.9232,
3,1,-113.5408, 1.1347, -116.8575, 2.1819,-2.8829,
3,2,-112.8360, 1.1526, -116.1584, 2.1698,-3.0194,
3,3,-131.6792, 1.1346, -134.9836, 2.1698,-2.9870,
3,4,-114.8668, 1.0754, -118.1089, 2.1667,-2.7967,
3,5,-113.0434, 1.0433, -116.2553, 2.1686,-3.0353,
3,6,-114.6527, 0.8878, -117.6980, 2.1575,-2.9406,
3,7,-106.0376, 0.8460, -109.0318, 2.1483,-2.6640,
3,8,-102.2863, 0.8911, -105.3287, 2.1513,-2.9473,
3,9,-113.5790, 0.6914, -116.4276, 2.1571,-2.7136,
4,0,-122.4364, 0.8084, -125.4038, 2.1590,-2.7093,
4,1,-119.2587, 0.8260, -122.2440, 2.1593,-2.6854,
4,2,-117.4625, 0.7192, -120.3437, 2.1619,-2.6460,
4,3,-96.7782, 0.6078, -99.5351, 2.1492,-2.7693,
4,4,-93.9672, 0.6817, -96.8051, 2.1563,-2.6188,
4,5,-113.9980, 0.4552, -116.6144, 2.1611,-2.5614,
4,6,-106.9461, 0.6588, -109.7529, 2.1480,-2.6471,
4,7,-117.3362, 0.5634, -120.0581, 2.1585,-2.5780,
4,8,-111.7137, 0.4950, -114.3625, 2.1538,-2.5360,
4,9,-100.7845, 0.3883, -103.3265, 2.1537,-2.6672,
5,0,-83.7961, 0.4401, -86.3960, 2.1598,-2.4859,
5,1,-104.6386, 0.2984, -107.1053, 2.1683,-2.2983,
5,2,-99.8165, 0.2552, -102.2437, 2.1720,-2.5962,
5,3,-107.7261, 0.3762, -110.2615, 2.1592,-2.3555,
5,4,-95.2493, 0.1977, -97.6159, 2.1690,-2.0602,
5,5,-116.4092, 0.0749, -118.6583, 2.1742,-2.0180,
5,6,-104.4165, 0.4560, -107.0427, 2.1702,-2.2794,
