age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
68,Self-emp-not-inc,219232,Some-college,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,39,United-States,<=50K
20,Private,71073,11th,6,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
53,Private,179180,Assoc-voc,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1910,58,United-States,>50K
27,Private,183770,Bachelors,12,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,36,United-States,<=50K
45,Private,258183,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15137,0,37,United-States,>50K
33,Private,59672,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,>50K
73,Self-emp-not-inc,215221,Some-college,9,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,25,United-States,<=50K
24,Private,247219,Prof-school,12,Never-married,Craft-repair,Not-in-family,White,Male,3930,0,43,United-States,<=50K
31,Local-gov,814629,HS-grad,10,Widowed,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,15632,2110,49,Ireland,<=50K
53,Private,179679,Assoc-voc,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1910,34,United-States,>50K
54,Private,178814,Assoc-voc,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1910,57,United-States,>50K
32,Private,37821,Some-college,9,Divorced,Sales,Not-in-family,Black,Female,0,0,40,United-States,<=50K
53,Private,194456,HS-grad,8,Married-civ-spouse,Armed-Forces,Husband,White,Male,0,1596,40,United-States,<=50K
42,Private,52249,HS-grad,8,Never-married,Tech-support,Own-child,White,Male,0,0,39,Scotland,<=50K
26,Private,250455,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,3625,0,38,United-States,<=50K
19,Local-gov,14742,5th-6th,8,Never-married,Protective-serv,Own-child,White,Male,0,0,39,Vietnam,<=50K
43,Private,61795,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,46840,11th,6,Divorced,Sales,Not-in-family,Black,Female,0,0,40,United-States,<=50K
25,Private,186797,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,0,0,37,United-States,<=50K
