age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
23.0,Federal-gov,13769.0,7th-8th,16.0,Divorced,Exec-managerial,Husband,White,Female,0.0,0.0,1.0,Yugoslavia
30.0,Private,120029.0,11th,8.0,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,8614.0,2754.0,49.0,Vietnam
30.0,Private,79036.0,1st-4th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1848.0,0.0,31.0,Vietnam
30.0,Private,72630.0,1st-4th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1506.0,0.0,27.0,Vietnam
30.0,Private,96586.0,12th,8.0,Married-spouse-absent,Handlers-cleaners,Own-child,White,Male,2228.0,0.0,35.0,Vietnam
31.0,Private,130018.0,11th,8.0,Married-civ-spouse,Exec-managerial,Unmarried,Other,Female,9562.0,974.0,47.0,Vietnam
31.0,Private,154835.0,11th,8.0,Married-civ-spouse,Farming-fishing,Unmarried,Other,Female,9562.0,0.0,46.0,Vietnam
32.0,Private,70377.0,1st-4th,11.0,Married-civ-spouse,Craft-repair,Wife,White,Female,114.0,0.0,27.0,Yugoslavia
29.0,Private,88506.0,1st-4th,12.0,Married-civ-spouse,Craft-repair,Other-relative,Black,Female,0.0,0.0,29.0,Vietnam
23.0,Self-emp-inc,273929.0,12th,9.0,Married-civ-spouse,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,4508.0,0.0,58.0,Taiwan
30.0,Private,82049.0,12th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,2228.0,0.0,30.0,Vietnam
24.0,Private,119199.0,1st-4th,11.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,401.0,0.0,57.0,Ireland
28.0,Private,102895.0,12th,8.0,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,1848.0,0.0,38.0,Vietnam
32.0,Local-gov,26145.0,5th-6th,15.0,Married-AF-spouse,Craft-repair,Wife,White,Female,0.0,0.0,2.0,Yugoslavia
28.0,Private,76144.0,5th-6th,11.0,Married-civ-spouse,Craft-repair,Wife,Asian-Pac-Islander,Female,114.0,0.0,30.0,Vietnam
29.0,Private,71865.0,1st-4th,10.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,1055.0,0.0,41.0,Vietnam
29.0,Private,175006.0,10th,8.0,Married-civ-spouse,Exec-managerial,Wife,Other,Female,10605.0,0.0,49.0,Vietnam
28.0,Federal-gov,13769.0,5th-6th,16.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,1.0,Yugoslavia
29.0,Private,59916.0,1st-4th,8.0,Married-spouse-absent,Machine-op-inspct,Husband,White,Male,594.0,0.0,23.0,Vietnam
30.0,Private,91384.0,12th,7.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,2174.0,0.0,28.0,Vietnam
31.0,Private,103233.0,12th,8.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,3273.0,0.0,31.0,Vietnam
30.0,Private,68111.0,1st-4th,8.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,991.0,0.0,25.0,Vietnam
30.0,Private,92531.0,12th,8.0,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,2463.0,0.0,34.0,Vietnam
29.0,Private,65408.0,1st-4th,8.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,1506.0,0.0,29.0,Vietnam
30.0,Private,113597.0,12th,8.0,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,5556.0,625.0,46.0,Vietnam
26.0,Federal-gov,25005.0,5th-6th,16.0,Divorced,Exec-managerial,Other-relative,White,Female,0.0,0.0,1.0,Vietnam
29.0,Private,62834.0,1st-4th,8.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,1173.0,0.0,26.0,Vietnam
29.0,Private,62339.0,1st-4th,7.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,1055.0,0.0,24.0,Vietnam
30.0,Private,111268.0,12th,8.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,3325.0,0.0,35.0,Vietnam
27.0,Private,43878.0,1st-4th,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,594.0,0.0,21.0,Vietnam
29.0,Private,94323.0,1st-4th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1731.0,0.0,26.0,Vietnam
30.0,Private,72776.0,12th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1797.0,0.0,29.0,Vietnam
25.0,Private,200593.0,12th,8.0,Married-civ-spouse,Farming-fishing,Not-in-family,Other,Male,4386.0,0.0,50.0,Vietnam
33.0,Private,155496.0,11th,10.0,Married-civ-spouse,Exec-managerial,Own-child,White,Female,2329.0,0.0,53.0,Vietnam
32.0,Local-gov,43959.0,1st-4th,15.0,Married-AF-spouse,Craft-repair,Wife,White,Female,0.0,0.0,5.0,Yugoslavia
30.0,Private,107665.0,1st-4th,10.0,Married-civ-spouse,Craft-repair,Unmarried,Other,Female,401.0,0.0,44.0,Vietnam
20.0,Private,380633.0,12th,11.0,Married-civ-spouse,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,2538.0,0.0,82.0,Laos
28.0,Private,47353.0,1st-4th,8.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,914.0,0.0,22.0,Vietnam
29.0,Private,54377.0,1st-4th,8.0,Married-spouse-absent,Machine-op-inspct,Husband,White,Male,914.0,0.0,21.0,Vietnam
