elevation,aspect,slope,hori_distance_hyd,vert_distance,hori_distance_road,hillshade_9am,hillshade_noon,hillshade_3pm,hori_distance_fire,wild_area,soil_type,cover_type
3238,215,11,310,30,2953,218,246,217,471,2,9,1
2816,58,18,70,9,5878,174,210,115,715,0,29,6
2998,46,8,653,125,1382,216,186,146,2169,2,36,1
3371,38,8,650,134,1112,212,205,139,2191,0,30,7
3063,203,12,36,1,2740,240,244,116,458,2,12,1
2984,41,7,423,15,1172,213,207,137,2356,0,28,2
3073,76,10,153,17,4464,230,217,111,1502,0,28,1
3306,234,7,393,27,2930,219,245,156,419,2,4,1
2227,165,23,185,73,1097,230,184,59,1579,0,1,2
3380,38,8,645,176,1494,220,225,151,2070,2,4,3
3093,219,11,27,33,2938,219,246,180,493,2,21,1
2957,309,10,662,143,994,205,231,174,1696,2,31,2
2682,49,23,234,70,1658,210,190,66,2404,2,32,2
2246,159,23,198,77,979,232,188,48,1605,0,3,2
2962,315,10,277,12,1069,209,231,170,6031,2,11,2
2930,306,10,945,152,977,177,217,172,1624,2,31,2
2954,312,10,275,73,1016,208,230,172,6080,2,31,2
2916,66,10,228,154,957,235,217,111,1559,0,11,2
3207,188,18,339,32,2815,144,245,219,492,2,12,1
2978,165,14,371,-8,464,244,237,95,2012,1,25,2
3239,233,11,22,32,3068,217,247,181,489,2,22,1
3316,241,7,412,28,1738,219,244,157,410,2,4,1
3034,120,18,69,4,2666,245,210,106,498,3,29,1
2957,47,15,92,1,1246,215,197,98,2812,2,32,2
2264,174,21,127,58,1169,229,249,91,714,0,22,3
2679,166,4,64,6,370,217,231,131,4152,1,17,2
2980,335,8,368,-5,1004,212,238,156,1950,1,25,2
2680,155,4,53,5,384,219,233,129,4159,1,17,2
3011,328,3,651,97,613,206,236,160,1858,2,30,2
2682,77,5,214,147,877,234,219,107,1552,0,11,2
2642,169,23,215,72,1082,232,181,62,1589,0,3,2
2662,83,22,240,156,968,237,204,42,1598,0,11,2
2976,316,10,237,6,2098,212,233,163,6187,2,11,2
2239,159,22,192,77,1015,232,187,49,1593,0,3,2
2881,61,11,237,22,5920,172,214,178,1535,0,31,2
3236,94,9,115,36,4600,231,248,151,601,2,22,1
2707,53,7,98,12,1290,212,208,137,2461,2,32,2
3321,258,7,592,36,1871,219,245,155,469,2,4,3
3352,45,7,648,11,1257,215,222,141,2278,1,32,1
2718,178,8,617,226,1886,217,241,150,2212,2,1,3
2867,301,12,253,83,6044,180,226,177,977,2,31,2
3267,234,11,303,30,3095,216,247,184,488,2,22,1
2932,305,11,267,139,1071,203,229,176,1668,2,31,2
2962,312,10,658,11,1068,208,231,174,1737,2,31,2
3063,209,12,42,0,2867,240,244,115,463,2,12,1
3296,195,34,377,74,2833,135,245,225,451,2,12,1
3070,93,9,120,57,1046,228,220,112,1586,0,22,1
3334,241,8,422,29,1676,220,244,156,409,2,4,3
3232,239,10,121,36,4454,232,247,150,546,2,22,1
3026,67,11,4,0,4193,236,212,106,541,0,28,1
2658,84,4,163,68,982,230,219,110,1576,0,11,2
3350,45,8,656,119,1327,216,222,144,2177,2,36,1
2893,300,11,255,155,5928,177,213,177,1590,2,31,2
3010,58,12,27,8,4417,234,211,113,657,0,28,1
3002,328,4,413,-2,1001,212,236,159,1909,2,11,2
3224,101,10,115,53,4627,228,248,148,1501,0,22,1
3330,225,7,416,25,2841,220,244,156,417,2,4,1
3053,112,18,56,42,2651,243,243,206,486,3,12,1
2725,179,7,219,59,1949,216,243,149,2336,0,1,3
2227,167,24,232,79,1089,230,180,49,1581,0,3,2
2807,120,33,69,8,4426,238,209,111,739,0,29,3
3041,120,12,58,4,2646,244,211,107,488,3,29,1
3375,39,8,650,131,1137,213,206,140,2182,0,30,1
3391,35,8,643,175,1452,221,225,151,2087,2,30,1
2207,93,21,136,73,1108,229,188,58,1590,0,1,2
2251,175,22,143,65,1151,229,186,83,1571,0,22,3
3061,73,11,14,1,2892,238,244,110,515,2,22,1
2675,150,3,39,3,396,240,235,126,4264,1,17,2
2629,172,23,219,71,1150,232,182,66,1545,0,1,2
2236,160,22,196,77,1081,232,187,49,1606,0,3,2
3054,123,12,41,1,2757,241,243,112,461,3,12,1
2932,69,10,949,154,824,220,218,167,1592,2,31,2
3305,262,7,566,38,1950,219,245,156,478,2,1,3
2228,95,20,130,62,1152,229,185,72,1559,0,22,3
3390,28,8,428,93,1476,220,225,153,2041,2,4,1
2975,161,14,67,-8,732,247,238,154,1996,1,7,2
2678,159,22,247,73,874,233,201,47,1593,0,3,2
2934,307,10,279,160,934,183,230,173,1767,2,31,2
3263,248,10,136,35,3241,214,247,154,548,2,22,1
3191,182,35,345,82,2837,142,245,222,497,2,12,1
3024,63,11,7,3,4333,232,213,110,608,0,28,1
2875,60,11,181,22,5924,232,214,117,1486,0,31,1
2676,148,14,32,3,392,241,236,126,4291,1,17,2
2959,312,10,280,17,1045,208,231,173,1793,2,31,2
2628,97,21,151,68,1053,229,204,66,1610,0,22,2
2861,59,11,203,20,5959,170,211,120,1500,0,31,2
2209,158,23,167,78,1113,230,186,49,1580,0,1,2
3324,255,8,429,35,1741,220,243,155,423,2,4,3
2943,170,14,74,-3,323,239,234,96,2915,1,16,2
2975,91,15,399,44,397,233,203,97,1845,2,32,2
3336,31,7,640,20,1080,213,206,134,3332,0,28,7
3409,27,8,631,117,1240,218,222,145,2094,2,30,1
3043,70,10,-5,0,4355,231,214,110,567,0,22,1
2954,48,7,95,10,1212,213,208,136,2497,1,32,2
2993,166,14,396,-7,464,241,235,96,1962,1,27,2
3059,196,18,51,38,2760,241,244,208,465,2,12,1
2973,316,10,1014,139,755,205,234,165,1693,2,31,2
2681,169,22,243,68,1761,230,198,54,2526,2,32,2
2234,170,24,229,76,1041,231,177,57,1578,0,9,2
2848,299,12,249,84,6043,179,226,179,946,2,31,2
2947,51,7,97,16,1332,211,188,138,2415,2,32,2
3002,332,3,398,-5,952,211,237,157,1947,1,11,2
2947,71,10,944,149,836,220,219,167,1604,2,11,2
2991,316,10,663,120,961,210,233,169,1833,2,11,2
3288,263,7,556,38,1945,218,245,155,489,2,1,3
3067,192,18,44,35,2795,147,245,214,471,2,12,1
2920,302,11,264,151,5858,177,215,176,1638,2,31,2
2685,85,21,224,150,755,238,206,42,1681,0,11,2
2964,314,10,217,7,3274,212,233,163,6186,2,11,2
2986,98,14,375,-4,328,239,219,95,2935,1,27,2
2901,303,11,258,22,5924,176,228,177,1598,2,31,2
2975,48,7,629,19,1219,212,185,139,2273,2,32,2
2953,47,15,91,-3,315,219,216,97,2875,1,16,2
3373,39,8,654,176,1503,220,241,152,2048,2,4,3
3343,41,7,636,14,1191,213,207,139,2315,0,28,2
3401,15,8,575,122,1139,218,222,139,2127,0,30,1
3359,36,7,642,17,1145,213,206,138,2216,0,28,7
2712,48,6,83,8,1220,213,210,135,2585,1,32,2
3390,28,8,624,132,1091,214,206,139,2142,0,30,1
2223,91,21,143,72,1069,230,204,60,1570,0,1,2
3065,66,10,17,17,4493,230,215,112,1486,0,28,1
2898,301,11,263,25,5971,178,228,178,1642,2,31,2
2810,296,32,216,22,6028,177,209,175,862,3,31,2
3267,41,5,72,9,1264,215,228,134,3930,0,17,2
2897,307,11,244,27,6075,206,228,175,6167,2,31,2
2900,303,11,266,80,6001,180,228,177,1741,2,31,2
2862,60,11,70,19,5961,170,212,121,1521,0,31,2
3287,243,6,362,28,1921,218,246,156,432,2,4,1
3259,201,18,356,26,2881,198,246,221,458,2,9,1
2680,156,4,59,8,381,217,231,131,4067,0,17,2
3235,209,17,324,30,2896,199,246,217,459,2,9,1
2964,314,10,246,10,1153,211,232,166,6141,2,11,2
2716,155,14,43,-4,567,246,238,95,4453,1,7,2
2229,161,23,231,80,1089,232,185,46,1544,0,3,2
2700,51,7,85,18,1503,211,188,139,2445,2,32,2
3071,76,10,-2,0,4288,234,214,111,556,0,22,1
2825,59,12,73,7,5862,237,210,115,700,0,29,2
3010,66,18,40,3,2703,242,209,103,553,0,29,1
2661,163,22,203,73,924,232,204,53,1640,0,3,2
3040,111,18,67,6,2495,246,209,110,506,3,29,1
3376,30,8,635,132,1121,213,206,139,2163,0,28,1
2978,48,7,630,17,1228,213,206,138,2319,2,32,2
2992,162,14,390,-9,519,244,236,96,1997,1,16,2
2876,303,11,244,85,6037,183,227,176,1050,2,31,2
2635,103,21,136,62,1157,229,187,80,1569,0,22,3
3201,94,9,114,56,4556,227,219,115,1537,0,22,1
2842,298,12,245,23,6041,174,210,180,1586,0,31,2
3411,17,8,596,116,1211,220,223,145,2093,0,30,1
3043,111,18,66,6,2484,245,210,111,510,3,29,1
2998,319,10,666,116,904,207,234,169,1774,2,11,2
2659,85,21,186,146,970,231,204,104,1540,0,11,2
2963,48,6,91,10,1261,213,208,137,2529,1,32,2
3332,26,8,632,21,1036,193,205,132,3269,0,28,7
2700,92,22,244,66,1609,230,200,98,2549,2,3,2
2729,50,8,618,136,1556,213,187,143,2269,2,32,2
2975,73,4,636,128,820,201,234,169,1716,2,10,2
2977,96,15,413,0,424,236,202,97,2812,2,32,2
2872,300,12,256,82,6008,178,227,178,1739,2,31,2
3009,84,3,423,98,587,223,236,162,1865,2,27,2
2998,87,14,398,98,516,239,236,100,1892,2,30,2
2949,52,5,88,3,1247,215,212,132,2720,2,32,2
2749,47,8,630,206,1824,218,241,150,2154,2,1,3
2951,307,10,1006,151,989,205,231,173,1712,2,31,2
3287,35,6,392,15,1175,214,210,134,3706,0,28,2
2914,307,11,263,24,6002,207,228,174,6111,2,31,2
3021,66,17,28,2,2720,242,209,103,529,0,29,1
2823,297,12,230,21,6037,175,209,177,833,0,31,2
2704,54,5,92,6,1252,214,210,103,2648,2,32,2
2830,58,12,39,9,4458,234,211,114,660,0,29,6
3391,35,8,648,117,1273,215,222,145,2130,0,30,1
3064,84,9,111,6,4534,227,217,113,1462,0,22,1
2696,179,24,237,66,1972,215,163,148,2282,2,1,3
3233,195,18,321,29,2877,138,246,221,473,2,12,1
2845,298,12,240,23,6066,175,225,180,813,2,31,2
3268,194,34,359,74,2855,134,245,225,473,2,12,1
2699,49,24,242,68,1816,213,191,144,2339,2,32,2
2893,301,11,263,24,6019,176,227,180,1638,2,31,2
3000,323,9,638,5,995,211,234,163,1854,2,11,2
3056,126,12,34,2,2769,240,243,112,463,3,28,1
2924,305,11,272,158,972,181,230,173,1727,2,31,2
2675,45,23,229,69,1825,229,196,60,2466,2,3,2
2917,304,11,973,160,937,179,231,171,1691,2,31,2
2834,56,12,72,16,5944,172,210,121,719,0,31,2
3218,191,18,327,31,2856,141,245,220,477,2,12,1
2816,59,18,56,6,4409,238,209,111,698,0,29,6
3067,78,10,131,9,4518,229,217,114,1493,0,22,1
2993,160,13,338,-8,964,249,239,154,2000,1,7,2
2668,79,21,229,155,921,236,203,100,1552,0,11,2
2229,167,24,216,78,1094,230,180,53,1578,0,9,2
2706,104,15,207,8,1658,214,202,109,2647,2,32,2
2938,49,16,88,12,1411,212,193,102,2615,2,32,2
2950,51,15,83,2,1227,217,213,100,2780,1,32,2
2702,49,5,86,0,311,217,214,132,2762,1,16,2
2703,85,16,965,148,767,240,204,96,1667,2,29,2
2945,51,16,77,8,1271,212,191,100,2697,2,32,2
2843,58,11,39,15,5916,232,211,118,1486,0,28,1
3288,39,6,390,13,1217,214,209,135,3736,0,28,2
3222,102,10,128,50,4666,228,249,148,1477,0,22,3
2671,46,23,234,71,1829,229,194,64,2445,2,32,2
2963,51,7,631,15,1275,212,207,140,2311,2,32,2
2672,179,23,196,66,2016,231,175,145,2461,0,3,2
2969,90,15,361,44,484,232,205,101,1829,2,30,2
3091,194,18,324,30,2879,140,246,219,468,2,12,1
3399,17,8,581,127,1108,196,222,138,2128,0,37,1
2936,306,11,273,78,1020,183,229,175,1746,2,31,2
3010,326,3,434,99,631,243,236,159,1890,2,30,2
2715,81,15,976,146,710,241,220,98,1660,2,11,2
2993,335,14,355,-7,969,212,239,155,1980,1,25,2
2913,62,11,244,153,5832,176,216,173,1585,2,31,2
2755,51,7,440,3,1325,216,224,141,2385,1,32,2
2933,305,10,264,149,1022,201,230,175,1667,2,31,2
3400,36,8,641,114,1338,219,224,148,2076,2,30,1
3295,202,18,364,26,2820,217,245,226,424,2,38,1
2680,169,4,69,3,379,218,231,131,4166,1,17,2
2968,90,15,414,119,515,234,204,96,1793,2,30,2
2986,333,8,344,-5,1033,212,239,155,1965,1,25,2
2920,307,10,216,20,3308,210,231,167,6276,2,33,2
2915,306,11,270,24,6000,207,228,176,6045,2,31,2
2644,87,21,178,74,1013,231,204,56,1557,0,11,2
2896,304,11,244,28,6053,183,228,176,6170,2,31,2
3408,28,8,629,113,1271,218,223,147,2080,2,30,1
3015,330,3,391,-6,890,212,237,156,1993,1,25,2
3004,335,3,436,72,672,206,236,161,1901,2,22,2
3073,81,10,-1,0,4425,233,230,116,554,0,22,1
2974,49,8,642,18,1257,213,185,141,2258,2,32,2
2994,89,14,399,89,519,236,236,102,1875,2,27,2
3053,72,10,-7,1,4421,230,215,112,1390,0,22,1
2945,310,10,236,15,3285,210,231,168,6178,2,33,2
2971,314,4,662,114,975,206,233,173,1716,2,31,2
2715,158,14,57,-7,646,247,238,95,1992,1,7,2
3383,38,8,644,125,1203,214,222,142,2180,0,30,1
2930,99,22,248,64,1613,230,197,100,2527,2,32,2
3050,70,10,-1,1,4426,229,215,112,1412,0,28,1
2957,104,15,84,-3,343,220,217,96,2889,1,16,2
3007,332,3,384,-8,709,247,237,156,2004,1,25,2
3251,269,10,127,47,4645,230,248,152,2326,2,22,3
3400,14,8,561,125,1107,198,222,138,2125,0,37,1
2224,168,21,129,65,1160,228,188,74,1619,0,22,3
2642,161,23,236,75,1050,233,183,50,1570,0,3,2
3237,99,10,124,41,4645,230,248,150,620,0,22,1
2948,51,6,92,10,1238,213,208,136,2525,1,32,2
2939,52,6,79,14,1365,210,189,105,2549,2,32,2
3275,232,11,330,28,3054,218,247,186,435,2,9,1
3043,118,13,65,4,2642,245,242,108,490,3,29,1
3016,86,3,403,85,532,241,237,159,1950,2,30,2
3278,271,11,157,43,2075,216,246,154,2265,2,22,3
3051,73,10,-5,0,4260,233,213,108,570,0,22,1
3011,325,3,422,85,693,206,236,164,1898,2,27,2
2209,161,22,158,76,1117,229,187,54,1583,0,1,2
2894,304,11,267,82,5975,182,227,177,1787,2,31,2
2993,321,4,666,105,895,206,234,170,1757,2,11,2
3246,233,11,307,29,3094,219,247,182,489,2,22,1
2662,76,21,221,154,1003,234,217,105,1534,0,11,2
2210,163,23,204,78,1116,231,183,49,1571,0,1,2
2690,84,21,245,152,797,239,205,96,1660,0,11,2
2227,157,23,191,80,1067,231,187,46,1587,0,1,2
2656,173,23,232,73,2028,230,173,63,2465,0,3,2
2682,169,22,235,68,1724,229,196,105,2471,2,3,2
2679,180,22,180,58,2104,213,246,151,2327,0,22,3
2627,92,20,130,61,1084,228,220,111,1558,0,22,1
2684,163,22,237,69,1659,228,198,99,2527,2,3,2
2671,84,22,243,153,934,236,203,100,1566,0,11,2
2653,89,22,195,76,963,233,205,48,1604,0,3,2
3281,37,6,381,12,1212,214,226,134,3802,0,28,2
3224,188,34,335,76,2861,137,246,224,487,2,12,1
2706,157,14,58,-6,581,246,238,95,1997,1,7,2
2217,95,21,127,68,1098,228,205,66,1599,0,22,2
3051,71,10,6,0,4199,236,213,108,518,0,22,1
2705,48,6,82,7,1240,213,210,134,2604,1,17,2
2228,172,23,187,72,1157,230,184,69,1613,0,1,2
3051,72,10,-2,0,4367,233,214,110,554,0,22,1
3023,123,18,53,5,2551,245,208,101,526,3,29,1
2818,57,12,65,9,4465,174,210,115,707,0,29,6
2972,314,10,1022,140,948,208,232,172,1757,2,31,2
3003,332,14,429,74,585,242,235,159,1908,2,27,2
3293,18,13,417,22,957,195,204,127,3257,0,37,7
3229,97,9,111,45,4595,229,248,150,668,0,22,1
2942,307,10,275,143,1014,204,231,175,1704,2,31,2
2833,297,12,239,21,6047,174,210,179,795,0,31,2
2959,312,10,277,16,1062,208,230,174,1762,2,31,2
3010,61,12,35,4,4344,234,211,112,645,0,28,1
3008,332,3,403,-8,778,210,237,157,1984,1,25,2
2949,49,5,71,10,1235,212,209,103,2639,2,32,2
3258,225,11,331,27,3054,218,247,185,460,2,9,1
3227,190,34,332,76,2857,139,246,223,485,2,12,1
3025,61,11,13,7,4372,232,212,112,626,0,28,1
2658,176,24,231,74,2010,230,169,70,2409,0,9,2
2669,86,21,212,149,856,235,205,49,1647,0,11,2
3007,65,18,35,2,2761,242,209,103,555,0,29,1
2631,90,21,157,74,1018,231,205,58,1589,0,1,2
3336,26,8,633,21,1044,193,205,132,3277,0,28,7
2215,165,21,137,72,1105,228,187,60,1614,0,1,3
2840,56,12,57,17,5938,170,211,120,1501,0,31,2
3384,37,8,654,180,1476,220,224,152,2029,2,4,3
2817,297,13,75,14,5969,174,209,117,762,0,29,2
2668,150,4,44,7,374,219,234,128,4135,0,17,2
3071,84,9,134,13,4457,227,219,112,1502,0,22,1
3012,334,3,389,-9,726,247,237,156,2007,1,25,2
2980,82,4,952,126,600,222,221,161,1759,2,10,2
3063,122,12,31,2,2741,240,243,113,462,3,12,1
2959,47,6,93,11,1222,213,208,136,2507,0,32,2
