----------pretrain Epoch 0:----------
VAE iteration 0 	 ELBO Loss 30481729642947980648513536.0000 	 MSE Reconstruct Loss 57.6174	 BCE Reconstruct Loss 9.6937	 KL Loss 9047779693626423431313489920.0000----------pretrain Epoch 1:----------
VAE iteration 0 	 ELBO Loss 19808941583989624241389568.0000 	 MSE Reconstruct Loss 54.8345	 BCE Reconstruct Loss 9.1106	 KL Loss 5806820166728796279859576832.0000----------pretrain Epoch 2:----------
VAE iteration 0 	 ELBO Loss 15855314337354209420115968.0000 	 MSE Reconstruct Loss 48.9424	 BCE Reconstruct Loss 7.6319	 KL Loss 4590219616135788393622667264.0000----------pretrain Epoch 3:----------
VAE iteration 0 	 ELBO Loss 14847773928635276634095616.0000 	 MSE Reconstruct Loss 46.7132	 BCE Reconstruct Loss 6.8319	 KL Loss 4245298558522799865919963136.0000----------pretrain Epoch 4:----------
VAE iteration 0 	 ELBO Loss 13624332827277647255961600.0000 	 MSE Reconstruct Loss 46.2497	 BCE Reconstruct Loss 6.5845	 KL Loss 3847310202706468879481176064.0000----------pretrain Epoch 5:----------
VAE iteration 0 	 ELBO Loss 11836972453743707671232512.0000 	 MSE Reconstruct Loss 46.1105	 BCE Reconstruct Loss 6.4879	 KL Loss 3301296022857631890938003456.0000----------pretrain Epoch 6:----------
VAE iteration 0 	 ELBO Loss 11974148207283334931283968.0000 	 MSE Reconstruct Loss 46.0517	 BCE Reconstruct Loss 6.4390	 KL Loss 3298352807947183384558567424.0000----------pretrain Epoch 7:----------
VAE iteration 0 	 ELBO Loss 12649254076442424853397504.0000 	 MSE Reconstruct Loss 46.0227	 BCE Reconstruct Loss 6.4120	 KL Loss 3441381482797097763968385024.0000----------pretrain Epoch 8:----------
VAE iteration 0 	 ELBO Loss 12913262724703851349278720.0000 	 MSE Reconstruct Loss 46.0070	 BCE Reconstruct Loss 6.3954	 KL Loss 3469972755519726851561881600.0000----------pretrain Epoch 9:----------
VAE iteration 0 	 ELBO Loss 13067294190640830712119296.0000 	 MSE Reconstruct Loss 45.9980	 BCE Reconstruct Loss 6.3851	 KL Loss 3468205114715607707487830016.0000----------pretrain Epoch 10:----------
VAE iteration 0 	 ELBO Loss 13310595215758013629464576.0000 	 MSE Reconstruct Loss 45.9927	 BCE Reconstruct Loss 6.3787	 KL Loss 3489412967442270104789712896.0000----------pretrain Epoch 11:----------
VAE iteration 0 	 ELBO Loss 13475792726467110305267712.0000 	 MSE Reconstruct Loss 45.9894	 BCE Reconstruct Loss 6.3747	 KL Loss 3489408245075787235144499200.0000----------pretrain Epoch 12:----------
VAE iteration 0 	 ELBO Loss 13874882269894293420244992.0000 	 MSE Reconstruct Loss 45.9872	 BCE Reconstruct Loss 6.3719	 KL Loss 3548755995553441142661971968.0000----------pretrain Epoch 13:----------
VAE iteration 0 	 ELBO Loss 14046741361057008457875456.0000 	 MSE Reconstruct Loss 45.9857	 BCE Reconstruct Loss 6.3699	 KL Loss 3548775770463088159301304320.0000----------pretrain Epoch 14:----------
VAE iteration 0 	 ELBO Loss 14253761099345718507732992.0000 	 MSE Reconstruct Loss 45.9846	 BCE Reconstruct Loss 6.3684	 KL Loss 3557093923874757859992403968.0000----------pretrain Epoch 15:----------
VAE iteration 0 	 ELBO Loss 14429854871194854494306304.0000 	 MSE Reconstruct Loss 45.9836	 BCE Reconstruct Loss 6.3674	 KL Loss 3557111927896973800514781184.0000----------pretrain Epoch 16:----------
VAE iteration 0 	 ELBO Loss 14727700612694987342086144.0000 	 MSE Reconstruct Loss 45.9831	 BCE Reconstruct Loss 6.3666	 KL Loss 3586303531458737691756068864.0000----------pretrain Epoch 17:----------
VAE iteration 0 	 ELBO Loss 14908947943669715934642176.0000 	 MSE Reconstruct Loss 45.9828	 BCE Reconstruct Loss 6.3659	 KL Loss 3586265162231064375888707584.0000----------pretrain Epoch 18:----------
VAE iteration 0 	 ELBO Loss 15092423871912849562402816.0000 	 MSE Reconstruct Loss 45.9822	 BCE Reconstruct Loss 6.3653	 KL Loss 3586281985661659598999781376.0000----------pretrain Epoch 19:----------
VAE iteration 0 	 ELBO Loss 15322869822253666135965696.0000 	 MSE Reconstruct Loss 45.9818	 BCE Reconstruct Loss 6.3649	 KL Loss 3596850641850321864988033024.0000----------pretrain Epoch 20:----------
VAE iteration 0 	 ELBO Loss 15510876732009904672342016.0000 	 MSE Reconstruct Loss 45.9816	 BCE Reconstruct Loss 6.3645	 KL Loss 3596849756406606326929555456.0000----------pretrain Epoch 21:----------
VAE iteration 0 	 ELBO Loss 15700715634036963488563200.0000 	 MSE Reconstruct Loss 45.9814	 BCE Reconstruct Loss 6.3642	 KL Loss 3596796334635768864068075520.0000----------pretrain Epoch 22:----------
VAE iteration 0 	 ELBO Loss 15892971059537678256046080.0000 	 MSE Reconstruct Loss 45.9813	 BCE Reconstruct Loss 6.3640	 KL Loss 3596819651320278032941318144.0000----------pretrain Epoch 23:----------
VAE iteration 0 	 ELBO Loss 16087120735070462073110528.0000 	 MSE Reconstruct Loss 45.9811	 BCE Reconstruct Loss 6.3638	 KL Loss 3596796924931579222773727232.0000----------pretrain Epoch 24:----------
VAE iteration 0 	 ELBO Loss 16283597006199542507372544.0000 	 MSE Reconstruct Loss 45.9811	 BCE Reconstruct Loss 6.3636	 KL Loss 3596820241616088391646969856.0000----------pretrain Epoch 25:----------
VAE iteration 0 	 ELBO Loss 16481992891633793341849600.0000 	 MSE Reconstruct Loss 45.9809	 BCE Reconstruct Loss 6.3635	 KL Loss 3596794858896242967303946240.0000----------pretrain Epoch 26:----------
VAE iteration 0 	 ELBO Loss 16682785700876121811189760.0000 	 MSE Reconstruct Loss 45.9807	 BCE Reconstruct Loss 6.3632	 KL Loss 3596821422207709109058273280.0000----------pretrain Epoch 27:----------
VAE iteration 0 	 ELBO Loss 16885626098710632040759296.0000 	 MSE Reconstruct Loss 45.9806	 BCE Reconstruct Loss 6.3631	 KL Loss 3596819651320278032941318144.0000----------pretrain Epoch 28:----------
VAE iteration 0 	 ELBO Loss 17090806927199494169690112.0000 	 MSE Reconstruct Loss 45.9804	 BCE Reconstruct Loss 6.3630	 KL Loss 3596846804927554533401296896.0000----------pretrain Epoch 29:----------
VAE iteration 0 	 ELBO Loss 17297822053802185792159744.0000 	 MSE Reconstruct Loss 45.9804	 BCE Reconstruct Loss 6.3630	 KL Loss 3596793678304622249892642816.0000----------pretrain Epoch 30:----------
VAE iteration 0 	 ELBO Loss 17507461229749362598346752.0000 	 MSE Reconstruct Loss 45.9803	 BCE Reconstruct Loss 6.3629	 KL Loss 3596820536763993570999795712.0000----------pretrain Epoch 31:----------
VAE iteration 0 	 ELBO Loss 17716715329914000717643776.0000 	 MSE Reconstruct Loss 45.9803	 BCE Reconstruct Loss 6.3628	 KL Loss 3596309635740128111258238976.0000----------pretrain Epoch 32:----------
VAE iteration 0 	 ELBO Loss 17930860123101181081812992.0000 	 MSE Reconstruct Loss 45.9802	 BCE Reconstruct Loss 6.3627	 KL Loss 3596334723312068356248436736.0000----------pretrain Epoch 33:----------
VAE iteration 0 	 ELBO Loss 17859076924381349575393280.0000 	 MSE Reconstruct Loss 45.9801	 BCE Reconstruct Loss 6.3626	 KL Loss 3539238361055122552086593536.0000----------pretrain Epoch 34:----------
VAE iteration 0 	 ELBO Loss 18074227065120547110125568.0000 	 MSE Reconstruct Loss 45.9801	 BCE Reconstruct Loss 6.3626	 KL Loss 3539233343540734503088553984.0000----------pretrain Epoch 35:----------
VAE iteration 0 	 ELBO Loss 18291854834173144759009280.0000 	 MSE Reconstruct Loss 45.9801	 BCE Reconstruct Loss 6.3626	 KL Loss 3539261382591726541607010304.0000----------pretrain Epoch 36:----------
VAE iteration 0 	 ELBO Loss 18511657013183430921289728.0000 	 MSE Reconstruct Loss 45.9800	 BCE Reconstruct Loss 6.3625	 KL Loss 3539259611704295465490055168.0000----------pretrain Epoch 37:----------
VAE iteration 0 	 ELBO Loss 18733824987121170333564928.0000 	 MSE Reconstruct Loss 45.9800	 BCE Reconstruct Loss 6.3624	 KL Loss 3539260792295916182901358592.0000----------pretrain Epoch 38:----------
VAE iteration 0 	 ELBO Loss 18958629692539945604874240.0000 	 MSE Reconstruct Loss 45.9800	 BCE Reconstruct Loss 6.3624	 KL Loss 3539312148031417390293057536.0000----------pretrain Epoch 39:----------
VAE iteration 0 	 ELBO Loss 19185128039648988334391296.0000 	 MSE Reconstruct Loss 45.9799	 BCE Reconstruct Loss 6.3624	 KL Loss 3539233343540734503088553984.0000----------pretrain Epoch 40:----------
VAE iteration 0 	 ELBO Loss 19414614759297972011270144.0000 	 MSE Reconstruct Loss 45.9800	 BCE Reconstruct Loss 6.3624	 KL Loss 3539261382591726541607010304.0000----------pretrain Epoch 41:----------
VAE iteration 0 	 ELBO Loss 19646232077887469141360640.0000 	 MSE Reconstruct Loss 45.9799	 BCE Reconstruct Loss 6.3623	 KL Loss 3539233933836544861794205696.0000----------pretrain Epoch 42:----------
VAE iteration 0 	 ELBO Loss 19880604878872976635723776.0000 	 MSE Reconstruct Loss 45.9799	 BCE Reconstruct Loss 6.3623	 KL Loss 3539260497148011003548532736.0000----------pretrain Epoch 43:----------
VAE iteration 0 	 ELBO Loss 20117444931878342782615552.0000 	 MSE Reconstruct Loss 45.9798	 BCE Reconstruct Loss 6.3623	 KL Loss 3539284108980425351774601216.0000----------pretrain Epoch 44:----------
VAE iteration 0 	 ELBO Loss 20356500900015563289395200.0000 	 MSE Reconstruct Loss 45.9798	 BCE Reconstruct Loss 6.3623	 KL Loss 3539258431112674748078751744.0000----------pretrain Epoch 45:----------
VAE iteration 0 	 ELBO Loss 20598372302467033716490240.0000 	 MSE Reconstruct Loss 45.9798	 BCE Reconstruct Loss 6.3623	 KL Loss 3539283223536709813716123648.0000----------pretrain Epoch 46:----------
VAE iteration 0 	 ELBO Loss 20842494207695496708882432.0000 	 MSE Reconstruct Loss 45.9798	 BCE Reconstruct Loss 6.3622	 KL Loss 3539257840816864389373100032.0000----------pretrain Epoch 47:----------
VAE iteration 0 	 ELBO Loss 21089479969941403109163008.0000 	 MSE Reconstruct Loss 45.9798	 BCE Reconstruct Loss 6.3622	 KL Loss 3539282633240899455010471936.0000----------pretrain Epoch 48:----------
VAE iteration 0 	 ELBO Loss 21338907619934066811338752.0000 	 MSE Reconstruct Loss 45.9798	 BCE Reconstruct Loss 6.3622	 KL Loss 3539282338092994275657646080.0000----------pretrain Epoch 49:----------
VAE iteration 0 	 ELBO Loss 21590814051161635234512896.0000 	 MSE Reconstruct Loss 45.9798	 BCE Reconstruct Loss 6.3622	 KL Loss 3539260202000105824195706880.0000----------pretrain Epoch 50:----------
VAE iteration 0 	 ELBO Loss 21845480576471232449347584.0000 	 MSE Reconstruct Loss 45.9798	 BCE Reconstruct Loss 6.3622	 KL Loss 3539258135964769568725925888.0000----------pretrain Epoch 51:----------
VAE iteration 0 	 ELBO Loss 22102957924409061157109760.0000 	 MSE Reconstruct Loss 45.9798	 BCE Reconstruct Loss 6.3622	 KL Loss 3539281452649278737599168512.0000----------pretrain Epoch 52:----------
VAE iteration 0 	 ELBO Loss 22363135414510679100489728.0000 	 MSE Reconstruct Loss 45.9797	 BCE Reconstruct Loss 6.3622	 KL Loss 3539306245073313803236540416.0000----------pretrain Epoch 53:----------
VAE iteration 0 	 ELBO Loss 22625556489860261968084992.0000 	 MSE Reconstruct Loss 45.9797	 BCE Reconstruct Loss 6.3621	 KL Loss 3539258726260579927431577600.0000----------pretrain Epoch 54:----------
VAE iteration 0 	 ELBO Loss 22890993607865896347369472.0000 	 MSE Reconstruct Loss 45.9797	 BCE Reconstruct Loss 6.3621	 KL Loss 3539256660225243671961796608.0000----------pretrain Epoch 55:----------
VAE iteration 0 	 ELBO Loss 23159195431639577945702400.0000 	 MSE Reconstruct Loss 45.9797	 BCE Reconstruct Loss 6.3621	 KL Loss 3539256365077338492608970752.0000----------pretrain Epoch 56:----------
VAE iteration 0 	 ELBO Loss 23430500920103661176094720.0000 	 MSE Reconstruct Loss 45.9798	 BCE Reconstruct Loss 6.3621	 KL Loss 3539305359629598265178062848.0000----------pretrain Epoch 57:----------
VAE iteration 0 	 ELBO Loss 23703950842566313141862400.0000 	 MSE Reconstruct Loss 45.9798	 BCE Reconstruct Loss 6.3621	 KL Loss 3539255774781528133903319040.0000----------pretrain Epoch 58:----------
VAE iteration 0 	 ELBO Loss 23980737319863297322778624.0000 	 MSE Reconstruct Loss 45.9797	 BCE Reconstruct Loss 6.3621	 KL Loss 3539282633240899455010471936.0000----------pretrain Epoch 59:----------
VAE iteration 0 	 ELBO Loss 24260330008102494569234432.0000 	 MSE Reconstruct Loss 45.9797	 BCE Reconstruct Loss 6.3621	 KL Loss 3539302703298451651002630144.0000----------pretrain Epoch 60:----------
VAE iteration 0 	 ELBO Loss 24542502934669001939222528.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3621	 KL Loss 3539280272057658020187865088.0000----------pretrain Epoch 61:----------
VAE iteration 0 	 ELBO Loss 24827728797379708240003072.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3621	 KL Loss 3539279976909752840835039232.0000----------pretrain Epoch 62:----------
VAE iteration 0 	 ELBO Loss 25115873857340079077326848.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3621	 KL Loss 3539279681761847661482213376.0000----------pretrain Epoch 63:----------
VAE iteration 0 	 ELBO Loss 25406774399696460278923264.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3621	 KL Loss 3539252528154571161022234624.0000----------pretrain Epoch 64:----------
VAE iteration 0 	 ELBO Loss 25701032249474256618913792.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3621	 KL Loss 3539279091466037302776561664.0000----------pretrain Epoch 65:----------
VAE iteration 0 	 ELBO Loss 25998070945921164673810432.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3621	 KL Loss 3539275549691175150542651392.0000----------pretrain Epoch 66:----------
VAE iteration 0 	 ELBO Loss 26298181025256345369051136.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3621	 KL Loss 3539278501170226944070909952.0000----------pretrain Epoch 67:----------
VAE iteration 0 	 ELBO Loss 26601122679806840480464896.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3621	 KL Loss 3539252823302476340375060480.0000----------pretrain Epoch 68:----------
VAE iteration 0 	 ELBO Loss 26907534628086202201276416.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3621	 KL Loss 3539279681761847661482213376.0000----------pretrain Epoch 69:----------
VAE iteration 0 	 ELBO Loss 27216815045069025757364224.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3621	 KL Loss 3539276139986985509248303104.0000----------pretrain Epoch 70:----------
VAE iteration 0 	 ELBO Loss 27529049246946652055404544.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539250462119234905552453632.0000----------pretrain Epoch 71:----------
VAE iteration 0 	 ELBO Loss 27844845976273513510600704.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539277320578606226659606528.0000----------pretrain Epoch 72:----------
VAE iteration 0 	 ELBO Loss 28163188356282546883919872.0000 	 MSE Reconstruct Loss 45.9797	 BCE Reconstruct Loss 6.3621	 KL Loss 3539224489103579122503778304.0000----------pretrain Epoch 73:----------
VAE iteration 0 	 ELBO Loss 28485554432342658153185280.0000 	 MSE Reconstruct Loss 45.9797	 BCE Reconstruct Loss 6.3621	 KL Loss 3539274664247459612484173824.0000----------pretrain Epoch 74:----------
VAE iteration 0 	 ELBO Loss 28810558392805309888331776.0000 	 MSE Reconstruct Loss 45.9797	 BCE Reconstruct Loss 6.3621	 KL Loss 3539250757267140084905279488.0000----------pretrain Epoch 75:----------
VAE iteration 0 	 ELBO Loss 29138795145166879222398976.0000 	 MSE Reconstruct Loss 45.9797	 BCE Reconstruct Loss 6.3621	 KL Loss 3539224784251484301856604160.0000----------pretrain Epoch 76:----------
VAE iteration 0 	 ELBO Loss 29470954136487121049878528.0000 	 MSE Reconstruct Loss 45.9797	 BCE Reconstruct Loss 6.3620	 KL Loss 3539275549691175150542651392.0000----------pretrain Epoch 77:----------
VAE iteration 0 	 ELBO Loss 29806200651596700013559808.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539298866375684319415894016.0000----------pretrain Epoch 78:----------
VAE iteration 0 	 ELBO Loss 30144170367300160349798400.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539249576675519367493976064.0000----------pretrain Epoch 79:----------
VAE iteration 0 	 ELBO Loss 30486122273880532735492096.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539272893360028536367218688.0000----------pretrain Epoch 80:----------
VAE iteration 0 	 ELBO Loss 30831500663172596670398464.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539299456671494678121545728.0000----------pretrain Epoch 81:----------
VAE iteration 0 	 ELBO Loss 31179150307828736093847552.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539194974313061187221192704.0000----------pretrain Epoch 82:----------
