elevation,aspect,slope,hori_distance_hyd,vert_distance,hori_distance_road,hillshade_9am,hillshade_noon,hillshade_3pm,hori_distance_fire,wild_area,soil_type,cover_type
3010,167,7,584,33,4328,253,232,164,1912,0,28,2
2760,193,25,774,166,2838,253,240,91,-17,0,29,5
2973,192,13,493,58,3214,193,214,141,2813,2,11,1
2725,107,13,-39,-5,4213,176,161,150,2494,2,11,2
2601,139,20,331,6,1589,242,221,120,1613,0,28,2
3342,190,28,224,73,-8,256,236,58,4,2,0,5
2021,26,24,260,-115,-346,180,209,120,784,3,11,6
2805,152,32,148,93,1837,259,195,93,239,0,29,5
3119,105,2,38,46,1264,213,219,154,3058,0,29,1
3537,122,8,61,9,1335,223,235,127,1930,0,29,7
2988,86,8,372,28,1088,241,235,128,1834,0,28,2
2886,129,14,263,21,5402,254,241,136,1275,0,28,2
2593,154,34,213,143,439,253,234,79,156,2,5,5
2998,277,12,46,72,1545,140,236,152,225,2,31,2
3631,45,7,485,44,3293,224,251,135,1684,0,18,7
2889,131,6,370,-4,776,239,228,133,5587,0,28,2
3028,52,24,68,0,57,183,202,152,1734,2,11,1
2931,117,15,419,72,855,209,200,145,2020,2,30,6
2579,93,20,721,18,984,241,219,159,853,0,28,2
1864,4,19,-8,2,1592,186,216,131,2438,2,11,2
2544,-20,49,-59,10,-359,243,216,147,1145,3,17,2
2537,276,12,52,36,1003,162,225,197,1040,2,32,2
2552,-22,49,-62,53,-366,243,203,146,1197,3,17,2
3240,81,14,930,80,560,186,248,176,2291,2,22,1
2116,270,24,179,206,1063,128,198,190,498,3,9,6
2831,247,19,6,1,7054,208,197,136,1354,2,30,2
2532,282,16,47,43,1623,167,267,222,1211,2,32,2
3369,256,12,1374,70,448,185,244,165,1598,2,22,1
3633,83,9,482,29,3264,233,251,124,1700,0,18,7
2322,326,11,-42,-18,1414,235,227,171,1432,3,5,3
2736,196,16,406,4,2462,205,216,100,818,2,3,2
2702,196,34,103,97,882,256,202,70,126,0,3,5
2799,133,16,348,44,4950,255,220,114,2163,0,28,2
2282,186,23,-22,78,265,190,215,72,1090,2,30,2
2560,132,12,158,70,1143,149,238,204,1320,2,32,2
2224,-20,49,-59,11,-342,243,217,157,1200,3,17,2
2826,197,35,191,120,2775,260,206,77,-192,0,38,5
2621,134,15,1438,46,2115,243,229,127,1851,0,28,2
2972,252,-2,449,63,2426,228,250,136,1252,2,23,7
3383,86,8,260,64,452,206,243,144,1829,2,22,1
2697,170,26,194,106,3133,207,238,74,71,2,11,5
2273,254,49,-61,12,-355,243,201,165,974,3,17,2
2472,207,10,120,-17,1898,220,222,123,2504,2,3,2
2706,66,17,43,-9,5201,238,245,138,4184,0,30,1
2042,124,27,6,79,3544,185,226,101,2183,2,3,2
3084,26,10,345,-279,1706,227,229,113,2360,2,31,7
2692,126,21,514,166,3953,222,216,136,904,2,12,1
3009,172,26,55,41,2358,195,208,116,2699,2,21,2
2761,149,22,42,36,3934,232,226,128,1190,2,22,5
3361,208,16,82,-54,2559,196,254,200,284,2,21,4
2664,76,24,845,5,3610,235,223,123,1017,2,12,5
3121,7,6,619,-9,2422,214,233,184,2359,2,37,7
3213,240,11,91,41,1182,190,255,212,381,2,0,4
3135,132,2,66,2,1273,214,211,146,1886,0,29,1
3274,181,10,97,109,589,253,190,68,534,2,29,5
2894,132,19,351,16,5121,242,240,109,3417,0,28,2
2225,309,49,-58,11,-356,242,202,133,1171,3,17,2
2817,94,20,388,-11,2968,152,205,131,2567,2,30,2
2072,204,39,119,58,650,258,204,81,533,3,0,5
2543,372,28,24,269,1449,147,229,174,361,3,19,3
2463,373,28,28,264,1738,147,221,213,407,3,19,3
2694,124,18,343,18,1033,255,226,125,5753,0,28,2
3097,256,3,191,-7,2000,202,248,102,457,2,37,7
2925,134,29,307,-2,5753,254,236,122,1351,0,28,2
3246,254,17,232,82,797,174,255,201,203,2,0,4
2725,159,9,173,96,2845,196,198,135,-5,0,3,5
2836,240,5,448,199,2686,220,259,151,1731,2,23,1
3958,-14,-2,52,130,3291,233,251,122,1014,0,21,1
3393,97,5,247,57,1071,214,235,191,2058,0,29,1
2724,59,8,365,30,1270,171,172,130,2446,3,9,6
3330,339,7,548,14,1150,191,215,123,1024,2,22,1
2942,161,12,326,-14,888,250,217,106,2263,0,28,2
2721,13,22,56,10,1813,231,224,253,1079,2,1,2
3001,47,9,466,12,2362,192,216,114,2351,2,22,1
3029,204,8,-4,-10,3801,230,249,149,1066,0,37,2
3027,99,12,108,-9,6772,229,242,119,1842,0,22,1
3142,275,13,142,38,1225,150,235,194,648,2,31,2
2855,155,28,344,10,1708,239,233,134,2962,0,28,2
2728,185,17,306,18,1605,207,176,147,1019,2,11,5
2776,56,25,235,45,1492,217,218,154,431,3,9,6
2920,22,6,485,-200,1045,159,249,156,1627,2,37,7
2699,339,28,38,218,1471,147,157,187,364,3,19,3
3009,97,9,49,12,1707,216,176,144,950,2,30,1
2502,283,12,28,2,2335,124,229,213,1216,2,12,2
2471,232,12,95,-9,2098,227,228,132,1601,0,22,1
2096,158,15,120,35,-200,232,199,130,935,2,19,2
2908,10,12,343,5,4090,172,207,138,1214,2,12,2
2982,124,21,382,14,209,242,243,140,1044,0,28,2
